winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser,date
Pratt N.,Safina D.,0.608948296852773,4.854454213918132,1.8116755178960546,1.3984270593860226,7.0,1.07,2007-01-08
Poutchkova O.,Obziler T.,0.8014825038277995,0.0,1.591105230273757,2.5,1.57,2.25,2007-01-09
Zheng J.,Bremond S.,0.0,0.7644290382008073,2.5,1.527917172519312,1.44,2.62,2007-01-09
Castano C.,Santangelo M.,1.731942964476805,0.9817335839523991,1.4141870850717841,2.134729927208834,2.1,1.66,2007-01-09
Bammer S.,Medina Garrigues A.,0.5929905779495755,2.018703629066389,1.787141532046901,1.8900992824990313,2.75,1.39,2007-01-09
Williams S.,Safarova L.,1.3095921546231177,1.0302883482595964,2.129850790207985,2.130756097450005,1.19,4,2007-01-09
Bardina V.,Nakamura A.,0.0,-0.9375292379916556,2.5,2.083432314142028,1.83,1.83,2007-01-09
Mirza S.,Oprandi R.,1.7166478330195822,-1.6402308966657817,1.9980751667416927,2.02209476226741,1.36,3,2007-01-09
Molik A.,Bondarenko A.,1.107753796469396,1.3095921546231177,2.1259836044066613,2.129850790207985,1.72,2,2007-01-09
Jankovic J.,Stosur S.,5.035086516970499,2.679714407147956,1.3023910284082403,1.2660142443080291,1.44,2.62,2007-01-09
Mauresmo A.,Golovin T.,0.0,1.189478873091762,2.5,2.1200430017066063,1.28,3.25,2007-01-09
Peer S.,Schnyder P.,2.4492921346776733,1.3095921546231177,1.3106664893584428,2.129850790207985,2.1,1.66,2007-01-09
Li N.,Dementieva E.,-0.03671550458029567,0.9449204845570714,1.6958229928267865,2.1462595413712346,2.75,1.39,2007-01-09
Clijsters K.,Pratt N.,0.0,2.777560408967074,2.5,1.2849859996096422,1.04,8.5,2007-01-09
Vaidisova N.,Fedak Y.,0.0,-0.1779533573840897,2.5,1.5902172866480353,1.1,6,2007-01-09
Srebotnik K.,Kuznetsova S.,0.05477705657590562,0.0,1.4607735654334293,2.5,3.0,1.33,2007-01-09
Ivanovic A.,Petrova N.,1.0861763852087567,0.0,1.4823029300784423,2.5,2.62,1.44,2007-01-09
Bardina V.,Castano C.,1.1258376885198187,2.3640636475845644,2.1215978121825545,1.2727418573236502,2.1,1.66,2007-01-10
Mirza S.,Molik A.,2.024028904486793,2.2460568850898155,1.8674558614319774,1.8646515882414243,1.83,1.83,2007-01-10
Chakvetadze A.,Zheng J.,0.0,1.8435209594964839,2.5,1.9307588109260052,1.39,2.75,2007-01-10
Bammer S.,Williams S.,1.7683819075735578,2.32033967617302,1.4418949704339974,1.8668963997124122,5.0,1.14,2007-01-10
Clijsters K.,Peer S.,2.891216668329534,2.8254055782071013,1.7682927746615245,1.1953968085544218,1.16,4.5,2007-01-10
